id,name,slug,summary,rating,rating_count,total_rating,total_rating_count,cover_url,genres,platforms,companies
41858,Resident Evil 6 Remastered,resident-evil-6-remastered,"Resident Evil 6 Remastered brings the original experience in high definition. The game offers multiple characters, including fan favorites and new faces, along with solo and co-op modes and new challenges for players, different from any other in the Resident Evil franchise. This edition includes all DLC, along with two costumes per main character, originally exclusively unlockable through Residentevil.net, that are now unlockable through the game itself.",70.27462956835856,42,70.13731478417928,43,co89lz.jpg,"[""Shooter"", ""Hack and slash/Beat 'em up"", ""Adventure""]","[""PlayStation 4"", ""Xbox One"", ""Nintendo Switch""]","[""Capcom""]"
27024,A Normal Lost Phone,a-normal-lost-phone,A Normal Lost Phone is a game about exploring the intimacy of an unknown person whose phone was found by the player.,70.41772487880755,41,79.20886243940377,43,co2kfs.jpg,"[""Puzzle"", ""Adventure"", ""Indie""]","[""Linux"", ""Android"", ""PC (Microsoft Windows)"", ""iOS"", ""Mac"", ""Nintendo Switch""]","[""Accidental Queens"", ""Plug In Digital"", ""Seaven Studio""]"
23596,Duke Nukem 3D: 20th Anniversary World Tour,duke-nukem-3d-20th-anniversary-world-tour,"Frag like it’s 1996 – this time with even more asses to kick! Join the world’s greatest action hero in Duke Nukem 3D: 20th Anniversary World Tour as he saves Earth once again, kicking alien ass and saving babes across the globe along the way.",79.56956863889508,34,80.17367320833642,43,co2m75.jpg,"[""Shooter"", ""Puzzle"", ""Adventure""]","[""PlayStation 4"", ""PC (Microsoft Windows)"", ""Xbox One"", ""Nintendo Switch""]","[""Nerve Software, LLC"", ""Gearbox Publishing"", ""Gearbox Software""]"
21911,LittleBigPlanet,littlebigplanet--1,"LittleBigPlanet is a 2009 puzzle platformer video game (with user-generated content) for the PlayStation Portable developed by SCE Cambridge Studio in conjunction with Media Molecule. It is a new entry in the LittleBigPlanet franchise made exclusively for the PSP, featuring a brand new story mode.",74.0704144409001,41,77.53520722045005,43,co49cl.jpg,"[""Platform"", ""Puzzle"", ""Adventure""]","[""PlayStation Portable""]","[""SCE Cambridge Studio"", ""Sony Computer Entertainment"", ""Media Molecule""]"
21634,Death Road to Canada,death-road-to-canada,"Death Road to Canada is a Permadeath Randomized Road Trip Simulator. You manage a group of survivors through decision making events as you travel from Florida to Ontario, Canada. This is mixed in with exploring, sneaking around, or fighting in randomly generated cities and other locations.

Scavenge for supplies, find survivors, and deal with massive hordes of classic-style zombies. Recruit up to four survivors with their own random names, appearances, personalities, and quirks that can both help and hinder your journey to safety. Make your own characters to put in the game, and customize them to be based on whoever you'd like.",64.66644435779814,36,70.61893646461336,43,co1ww4.jpg,"[""Role-playing (RPG)"", ""Adventure"", ""Indie""]","[""PlayStation 4"", ""Linux"", ""Android"", ""PC (Microsoft Windows)"", ""iOS"", ""Mac"", ""Xbox One"", ""Nintendo Switch""]","[""Ukiyo Publishing"", ""Rocketcat Games"", ""Noodlecake Studios"", ""Rocketcat Games""]"
19902,Bad Piggies,bad-piggies,"Bad Piggies is a puzzle video game and a spin-off to Angry Birds. Unlike previous games in the series, in this entry the player controls the pigs, building devices that travel on land and air to find pieces of a map to find the Angry Birds' eggs The objective of the game is to build a contraption that transports the pig from a starting point to the finish line, usually indicated by a map. Such contraptions are made of wood and iron as well as other objects such as wheels, soda bottles, umbrellas (to increase air resistance), motors, fans, TNT, and balloons.",68.31161679935762,41,71.65580839967882,43,co49p4.jpg,"[""Puzzle""]","[""BlackBerry OS"", ""Windows Phone"", ""Android"", ""PC (Microsoft Windows)"", ""iOS"", ""Mac""]","[""Rovio Entertainment""]"
19621,Naruto: Ultimate Ninja 2,naruto-ultimate-ninja-2,"""The ultimate ninja battle returns!

Battle the best in the land with intense, anime-style head-to-head ninja fighting with over 30 playable characters and 16 unique stages. Choose from more than 60 exciting missions, test your skills with challenging mini-games or play through the anime storyline - and even unlock an original story - in the all-new mode, Ultimate Road. Earn money and points to unlock tons of bonus content as you unleash your chakra and ascend the ranks on your way to becoming the greatest ninja of all!""",69.95195709031181,40,73.80931187848924,43,co1u9f.jpg,"[""Fighting""]","[""PlayStation 2""]","[""Bandai"", ""NAMCO BANDAI Games America Inc."", ""CyberConnect2"", ""Atari Europe""]"
19563,Batman: Arkham VR,batman-arkham-vr,"Your quest to clean up Gotham has only just begun – and now it’s even more terrifying than it’s ever been. Exclusive to PlayStation VR, Batman: Arkham VR lets you become the Dark Knight in a virtual reality recreation of the DC’s hero’s more iconic locations.

Become the world’s greatest detective and explore places such as Wayne Manor and the Batcave as you battle in a brand new and personal story set in Rocksteady’s classic Arkham universe.",72.96008873003802,29,73.12290150787615,43,co22zo.jpg,"[""Puzzle"", ""Adventure""]","[""PlayStation VR"", ""PC (Microsoft Windows)"", ""SteamVR"", ""Oculus Rift""]","[""Rocksteady Studios"", ""WB Games""]"
19525,Fe,fe,"Fe is a new type of platform adventure where the story is up to you to discover, without handholding, told wordlessly through the discoveries you make during gameplay.

Run, climb, and glide your way through a dark Nordic forest and explore its living, breathing ecosystem filled with secrets and mystical creatures.

At the heart of the experience is a tactile, analogue song mechanic that allows you to communicate and speak to every living thing in the forest.

Learn a diverse array of animal cries that allow you to befriend or manipulate any creature - even plants. Have birds guide you, bears fight for you and have plants grow berries that help you overcome the Silent Ones.

Become Fe and discover a world that you will never want to leave.",70.00080247791556,32,70.54585578441232,43,co28r1.jpg,"[""Platform"", ""Adventure""]","[""PlayStation 4"", ""PC (Microsoft Windows)"", ""Xbox One"", ""Nintendo Switch""]","[""Electronic Arts"", ""Zoink""]"
19464,NHL 17,nhl-17,"All-new game modes, new and deeper experiences in fan-favorite modes, and the best on-ice gameplay ever make NHL 17 the most exciting EA SPORTS NHL game to date. Live out your hockey fantasy in all-new Draft Champions and World Cup of Hockey game modes, own every zone with authentic goaltenders, new Net Battles on offense and defense, and bone-crushing Collision Physics. Take your team to the next level in the most customizable EA SPORTS Hockey League ever and bring your game to life with dozens of thrilling new goal celebrations. No matter how you play the game, NHL 17 lets you shape your legacy on and off the ice.",79.20735915287898,25,79.4647906875506,43,co2qu9.jpg,"[""Sport""]","[""PlayStation 4"", ""Xbox One""]","[""EA Canada"", ""EA Sports""]"
18090,Shakes and Fidget,shakes-and-fidget,Shakes and Fidget is a fun fantasy RPG satire and an award-winning role-playing game at the same time! Sounds crazy? Over 50 million players make it one of the most popular online games in the world! Customize your own comic book hero and conquer the top slot of the Hall of Fame!,79.0632072666344,43,79.0632072666344,43,coab01.jpg,"[""Role-playing (RPG)"", ""Strategy"", ""Adventure"", ""Indie""]","[""Web browser"", ""Android"", ""PC (Microsoft Windows)"", ""iOS""]","[""Playa Games GmbH""]"
18067,Demon's Crest,demons-crest,This is the third game featuring Firebrand from the Gargoyle's Quest series. It is side a scrolling platformer.,80.37244798287092,43,80.37244798287092,43,co69t5.jpg,"[""Platform"", ""Role-playing (RPG)"", ""Adventure""]","[""Super Nintendo Entertainment System"", ""Wii U"", ""New Nintendo 3DS"", ""Super Famicom""]","[""Capcom"", ""Capcom"", ""Capcom"", ""Playtronic""]"
